Region,Year,HealthExpPerCapita
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
Europe,2000,1143.454545
Europe,2001,1177.045455
Europe,2002,1359.477273
Europe,2003,1704.25
Europe,2004,1975.931818
Europe,2005,2113.840909
Europe,2006,2232.75
Europe,2007,2565.431818
Europe,2008,2851.295455
Europe,2009,2706.545455
Europe,2010,2677.818182
Europe,2011,2880.613636
Europe,2012,2737.545455
Asia,2000,182.1
Asia,2001,169.8
Asia,2002,169.6129032
Asia,2003,196.1290323
Asia,2004,215.5806452
Asia,2005,238
Asia,2006,255.0322581
Asia,2007,281.2258065
Asia,2008,322.5483871
Asia,2009,340.5483871
Asia,2010,379.3548387
Asia,2011,431.1612903
Asia,2012,458.516129
Middle East,2000,427.8461538
Middle East,2001,459.2307692
Middle East,2002,449.0769231
Middle East,2003,511
Middle East,2004,532.0769231
Middle East,2005,561.3076923
Middle East,2006,592.3076923
Middle East,2007,636
Middle East,2008,715.6153846
Middle East,2009,759.4615385
Middle East,2010,750.2307692
Middle East,2011,828.6153846
Middle East,2012,878.7692308
The Americas,2000,450.0285714
The Americas,2001,463.2285714
The Americas,2002,463.4
The Americas,2003,493.5428571
The Americas,2004,532.6571429
The Americas,2005,590.1714286
The Americas,2006,655
The Americas,2007,729.9714286
The Americas,2008,795.5428571
The Americas,2009,811
The Americas,2010,872.1714286
The Americas,2011,923.2571429
The Americas,2012,961.5428571
Oceania,2000,349.4545455
Oceania,2001,339.1818182
Oceania,2002,376.4545455
Oceania,2003,461.7272727
Oceania,2004,556.9090909
Oceania,2005,624
Oceania,2006,651.9090909
Oceania,2007,764.1818182
Oceania,2008,806.6363636
Oceania,2009,778.4545455
Oceania,2010,937.5454545
Oceania,2011,1085.727273
Oceania,2012,1059.272727
Africa,2000,50.52
Africa,2001,50.36
Africa,2002,50.98
Africa,2003,61.04
Africa,2004,73.46
Africa,2005,80.34
Africa,2006,88.1
Africa,2007,97.92
Africa,2008,113.5882353
Africa,2009,117.745098
Africa,2010,130.1568627
Africa,2011,143.8039216
Africa,2012,155.7058824
